index,event,event_code,time,user,message,category,code
1747,match round one,8,[1:16:39] ,laughswithknives,its out on steam atprtsd,other,10
1748,match round one,8,[1:16:39] ,souljasleet,you smurf,other,10
1749,match round one,8,[1:16:40] ,djscope,bundle is out now on the east coast,game,9
1750,match round one,8,[1:16:40] ,ravengear,poor two p,other,10
1751,match round one,8,[1:16:41] ,megatonbeef,must wait for bundle,game,9
1752,match round one,8,[1:16:42] ,ssjdill,snk giving free dlc and we gotta spend fm after waiting months,other,10
1753,match round one,8,[1:16:43] ,phoolish,her intro is freakin amazing,cdesign,4
1754,match round one,8,[1:16:43] ,darnellplayer,damuffinman doodbro,other,10
1755,match round one,8,[1:16:44] ,thecheeze,umehonda lol,other,10
1756,match round one,8,[1:16:48] ,poorygone,smurf too,other,10
1757,match round one,8,[1:16:52] ,squalladv,perdon,cdesign,4
1758,match round one,8,[1:16:56] ,fluffysheap,bundle leaked early onsteam,game,9
1759,match round one,8,[1:16:56] ,gregcanela,smurfs are out,other,10
1760,match round one,8,[1:16:57] ,cmplete,bundle is out now on steam,game,9
1761,match round one,8,[1:17:01] ,thelexnard,his chp is sooo much slower in this game than sfiv lol,cinfo,5
1762,match round one,8,[1:17:01] ,flyerthanabird,the bundle is out now,game,9
1763,match round one,8,[1:17:07] ,ventolin,not on psn djscope,other,10
1764,match round one,8,[1:17:09] ,chronodragon,hondas theme in this game,cdesign,4
1765,match round one,8,[1:17:11] ,mexicanlew,httpstwittercomscrubsurastatus,other,10
1766,match round one,8,[1:17:12] ,miketales,almost half life gone and hes hit you times,caction,3
1767,match round one,8,[1:17:18] ,squalladv,umehonda ohmydog,other,10
1768,match round one,8,[1:17:25] ,damuffinman,oh god hondas ass,cdesign,4
1769,match round one,8,[1:17:26] ,mikeyjoel,when you grab she says sorry in spanish haha perdon,question,8
1770,match round one,8,[1:17:27] ,sweetbabybuddha,smurfer,other,10
1992,match round one,8,[1:23:05] ,ninjavanish,we bronze,other,10
1993,match round one,8,[1:23:06] ,vampirekoala,bronze,other,10
1994,match round one,8,[1:23:07] ,supermechakupo,vtrigger cancel combo so lots of scaling,caction,3
1995,match round one,8,[1:23:09] ,ghostfromrdstrike,bronze boyz reoboon,other,10
1996,match round one,8,[1:23:09] ,masonking,hey and chat,other,10
1997,match round one,8,[1:23:16] ,mosesthechosenone,hands are,cdesign,4
1998,match round one,8,[1:23:18] ,drunkennoodlez,light headbutt is,caction,3
1999,match round one,8,[1:23:19] ,valeriobr,bronze poooound,other,10
2000,match round one,8,[1:23:21] ,nosferatulive,headbutt,request,1
2001,match round one,8,[1:23:23] ,cluminati,isnt everyone honda,question,8
2002,match round one,8,[1:23:24] ,topgunlt,just hit his head,request,1
2003,match round one,8,[1:23:27] ,rorboy,rookies are killers,other,10
2004,match round one,8,[1:23:35] ,renpool,gotta respect the law,caction,3
2005,match round one,8,[1:23:40] ,someguyzero,honda makes bison look like a beotch,cinfo,5
2006,match round one,8,[1:23:42] ,goldcarats,really happy big boy honda finally made it in,cinfo,5
2007,match round one,8,[1:23:45] ,bendollarsign,ftl,other,10
2008,match round one,8,[1:23:49] ,jabmasher,is that tatsu an actual dp,question,8
2009,match round one,8,[1:23:52] ,bobdobbz,mosesthechosenone for mp,other,10
2010,match round one,8,[1:23:54] ,quoji,how does honda walk so fast,question,8
2011,match round one,8,[1:23:56] ,efonzerellie,it seems tough to actually link things with honda,cinfo,5
2012,match round one,8,[1:23:58] ,darnellplayer,dont say it,other,10
2013,match round one,8,[1:24:00] ,muenshter,lol,goodp,6
2014,match round one,8,[1:24:02] ,topgunlt,xd,goodp,6
2015,match round one,8,[1:24:03] ,ninjavanish,all headbutts are minus light is,caction,3
2016,match round one,8,[1:24:03] ,kfigueroa,honda looks sick,cdesign,4
2017,match round one,8,[1:24:04] ,dnut,lolol,goodp,6
2018,match round one,8,[1:24:04] ,goldcarats,chat how is hondas normals just tuned in,question,8
2019,match round one,8,[1:24:05] ,universefour,these characters look cool but i was hoping for c viper or makoto,game,9
2020,match round one,8,[1:24:05] ,poorygone,lmao he watching,other,10
2021,match round one,8,[1:24:05] ,bobdobbz,mosesthechosenone i believe,other,10
3642,match round one,8,[2:27:33] ,kiboshkaibutsu,got to see when we get to diamond,game,9
3643,match round one,8,[2:27:33] ,battlebrn,kage,request,1
3644,match round one,8,[2:27:35] ,tw,is poison broken she was the only one i was really looking forward too,question,8
3645,match round one,8,[2:27:36] ,kristoffers,hahaaa,goodp,6
3646,match round one,8,[2:27:39] ,clack,floebully,other,10
3647,match round one,8,[2:27:39] ,squalladv,illspirations check final fight lucia artwork she is like this,cdesign,4
3648,match round one,8,[2:27:42] ,vuvu,its natural that the first thing u see is what she doesnt havebut shes got alot,cdesign,4
3649,match round one,8,[2:27:44] ,uchihajup,nostalgia costume,game,9
3650,match round one,8,[2:27:57] ,ghostfromrdstrike,predacn,other,10
3651,match round one,8,[2:28:01] ,roninwoof,nurselee oh i know just didnt know if what you said about relation was true lol,other,10
3652,match round one,8,[2:28:09] ,tw,dude that run she does is going to make me so mad,caction,3
3653,match round one,8,[2:28:24] ,someguyzero,eds a punk that lucia needs to put away behind bars,cinfo,5
3654,match round one,8,[2:28:30] ,vuvu,she got trex arms but shes got fkn ostrich legs as well,cdesign,4
3655,match round one,8,[2:28:31] ,ghostfromrdstrike,the music reohuh,cdesign,4
3656,match round one,8,[2:28:35] ,jejune,lol,goodp,6
3657,match round one,8,[2:28:36] ,poorygone,lmao,goodp,6
3658,match round one,8,[2:28:36] ,zyxwhitewind,nope,badp,7
3659,match round one,8,[2:28:36] ,sonicnerd,rip,badp,7
3731,match round one,8,[2:31:33] ,glovecold,how you lose to bum ed lol,question,8
3732,match round one,8,[2:31:34] ,moobot,join the arcade discord at httpsdiscordggesjxkm,other,10
3733,match round one,8,[2:31:40] ,themegamansam,ed players are diet ken players,other,10
3734,match round one,8,[2:31:41] ,bgamr,he saw right through you,comment,2
3735,match round one,8,[2:31:45] ,swiftruina,bully defeated,comment,2
3736,match round one,8,[2:31:48] ,sonicnerd,he knows youre a smurf so he wants to punish you more,comment,2
3737,match round one,8,[2:31:54] ,inodmyheadwhenilose,ed feeling himself,other,10
3738,match round one,8,[2:32:03] ,sidebysidefgc,so does she not have a lowforward cancel,question,8
3739,match round one,8,[2:32:06] ,alphardegw,punish the sweeeps plzzz,request,1
3740,match round one,8,[2:32:07] ,tomfromtheclouds,ed top tier confirmed curselit curselit curselit,other,10
3741,match round one,8,[2:32:13] ,vuvu,and kens are rashid lite,cinfo,5
3742,match round one,8,[2:32:23] ,someguyzero,he knows youre salty,comment,2
3834,match round one,8,[2:38:27] ,kristoffers,honda,request,1
3835,match round one,8,[2:38:27] ,squalladv,zyxwhitewind similar check capcomchannel for the trailer in japanese,request,1
3836,match round one,8,[2:38:38] ,squalladv,zyxwhitewind on yt,other,10
3837,match round one,8,[2:38:41] ,sidebysidefgc,lets go hondy,cinfo,5
3838,match round one,8,[2:38:42] ,kristoffers,man its refreshing to see some new characters,comment,2
3839,match round one,8,[2:38:43] ,megatonbeef,gameart most psn update is monday night tuesday morning,game,9
3840,match round one,8,[2:38:45] ,kristoffers,its been so long,comment,2
3841,match round one,8,[2:38:52] ,zyxwhitewind,aiight,other,10
3842,match round one,8,[2:38:56] ,solitudegaming,honda looka like such a beast in sfv,cdesign,4
3843,match round one,8,[2:38:57] ,predacn,about time the og was complete,game,9
3844,match round one,8,[2:38:57] ,kiboshkaibutsu,jp voice little better,cdesign,4
3845,match round one,8,[2:39:02] ,muenshter,that sick,caction,3
