,index,event,event_code,time,user,message,category,code,diff
0,1747,match round one,8,[1:16:39] ,laughswithknives,its out on steam atprtsd,other,10,1.0
1,1748,match round one,8,[1:16:39] ,souljasleet,you smurf,other,10,1.0
2,1749,match round one,8,[1:16:40] ,djscope,bundle is out now on the east coast,game,9,1.0
3,1750,match round one,8,[1:16:40] ,ravengear,poor two p,other,10,1.0
4,1751,match round one,8,[1:16:41] ,megatonbeef,must wait for bundle,game,9,1.0
5,1752,match round one,8,[1:16:42] ,ssjdill,snk giving free dlc and we gotta spend fm after waiting months,other,10,1.0
6,1753,match round one,8,[1:16:43] ,phoolish,her intro is freakin amazing,cdesign,4,1.0
7,1754,match round one,8,[1:16:43] ,darnellplayer,damuffinman doodbro,other,10,1.0
8,1755,match round one,8,[1:16:44] ,thecheeze,umehonda lol,other,10,1.0
9,1756,match round one,8,[1:16:48] ,poorygone,smurf too,other,10,1.0
10,1757,match round one,8,[1:16:52] ,squalladv,perdon,cdesign,4,1.0
11,1758,match round one,8,[1:16:56] ,fluffysheap,bundle leaked early onsteam,game,9,1.0
12,1759,match round one,8,[1:16:56] ,gregcanela,smurfs are out,other,10,1.0
13,1760,match round one,8,[1:16:57] ,cmplete,bundle is out now on steam,game,9,1.0
14,1761,match round one,8,[1:17:01] ,thelexnard,his chp is sooo much slower in this game than sfiv lol,cinfo,5,1.0
15,1762,match round one,8,[1:17:01] ,flyerthanabird,the bundle is out now,game,9,1.0
16,1763,match round one,8,[1:17:07] ,ventolin,not on psn djscope,other,10,1.0
17,1764,match round one,8,[1:17:09] ,chronodragon,hondas theme in this game,cdesign,4,1.0
18,1765,match round one,8,[1:17:11] ,mexicanlew,httpstwittercomscrubsurastatus,other,10,1.0
19,1766,match round one,8,[1:17:12] ,miketales,almost half life gone and hes hit you times,caction,3,1.0
20,1767,match round one,8,[1:17:18] ,squalladv,umehonda ohmydog,other,10,1.0
21,1768,match round one,8,[1:17:25] ,damuffinman,oh god hondas ass,cdesign,4,1.0
22,1769,match round one,8,[1:17:26] ,mikeyjoel,when you grab she says sorry in spanish haha perdon,question,8,1.0
23,1770,match round one,8,[1:17:27] ,sweetbabybuddha,smurfer,other,10,1.0
24,1992,match round one,8,[1:23:05] ,ninjavanish,we bronze,other,10,222.0
25,1993,match round one,8,[1:23:06] ,vampirekoala,bronze,other,10,1.0
26,1994,match round one,8,[1:23:07] ,supermechakupo,vtrigger cancel combo so lots of scaling,caction,3,1.0
27,1995,match round one,8,[1:23:09] ,ghostfromrdstrike,bronze boyz reoboon,other,10,1.0
28,1996,match round one,8,[1:23:09] ,masonking,hey and chat,other,10,1.0
29,1997,match round one,8,[1:23:16] ,mosesthechosenone,hands are,cdesign,4,1.0
30,1998,match round one,8,[1:23:18] ,drunkennoodlez,light headbutt is,caction,3,1.0
31,1999,match round one,8,[1:23:19] ,valeriobr,bronze poooound,other,10,1.0
32,2000,match round one,8,[1:23:21] ,nosferatulive,headbutt,request,1,1.0
33,2001,match round one,8,[1:23:23] ,cluminati,isnt everyone honda,question,8,1.0
34,2002,match round one,8,[1:23:24] ,topgunlt,just hit his head,request,1,1.0
35,2003,match round one,8,[1:23:27] ,rorboy,rookies are killers,other,10,1.0
36,2004,match round one,8,[1:23:35] ,renpool,gotta respect the law,caction,3,1.0
37,2005,match round one,8,[1:23:40] ,someguyzero,honda makes bison look like a beotch,cinfo,5,1.0
38,2006,match round one,8,[1:23:42] ,goldcarats,really happy big boy honda finally made it in,cinfo,5,1.0
39,2007,match round one,8,[1:23:45] ,bendollarsign,ftl,other,10,1.0
40,2008,match round one,8,[1:23:49] ,jabmasher,is that tatsu an actual dp,question,8,1.0
